Playlist Name,Song,Artist,Full Artist,Album
Dhurandhar - All Songs 🔥,Dhurandhar,Shashwat Sachdev,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan","Dhurandhar - Title Track (From ""Dhurandhar"")"
Dhurandhar - All Songs 🔥,Dhurandhar The Revenge,Shashwat Sachdev,"Shashwat Sachdev, Bombay Rockers, Irshad Kamil, Khan Saab, Reble, Token, Jasmine Sandlas, Sudhir Yaduvanshi","Dhurandhar The Revenge - Aari Aari (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Jaiye Sajana,Shashwat Sachdev,"Shashwat Sachdev, Jasmine Sandlas, Satinder Sartaaj",Dhurandhar The Revenge
Dhurandhar - All Songs 🔥,Jaan Se Guzarte Hain,Shashwat Sachdev,"Shashwat Sachdev, Khan Saab",Dhurandhar The Revenge
Dhurandhar - All Songs 🔥,Ishq Jalakar,Shashwat Sachdev,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Roshan, Irshad Kamil, Sahir Ludhianvi","Ishq Jalakar - Karvaan (From ""Dhurandhar"")"
Dhurandhar - All Songs 🔥,Shararat,Shashwat Sachdev,"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas","Shararat (From ""Dhurandhar"")"
Dhurandhar - All Songs 🔥,Tamma Tamma,Bappi Lahiri,"Bappi Lahiri, Anuradha Paudwal, Indeevar","Tamma Tamma (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Gehra Hua,Shashwat Sachdev,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan","Gehra Hua (From ""Dhurandhar"")"
Dhurandhar - All Songs 🔥,Phir Se,Shashwat Sachdev,"Shashwat Sachdev, Arijit Singh, Irshad Kamil","Phir Se (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,FA9LA,Flipperachi,Flipperachi,فصلة
Dhurandhar - All Songs 🔥,Moves,Shubh,Shubh,Chapter IV
Dhurandhar - All Songs 🔥,Ehsaas,Faheem Abdullah,"Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar",Ehsaas
Dhurandhar - All Songs 🔥,Raindance,Dave,"Dave, Tems",The Boy Who Played the Harp
Dhurandhar - All Songs 🔥,Chand Mera Dil,Sachin-Jigar,"Sachin-Jigar, Faheem Abdullah, Amitabh Bhattacharya",Chand Mera Dil (Title Track)
Dhurandhar - All Songs 🔥,Tu Hi Disda,Pritam,"Pritam, Arijit Singh, Nikhita Gandhi, Kumaar","Tu Hi Disda (From ""Bhooth Bangla"")"
Dhurandhar - All Songs 🔥,Dil Pe Zakham Khate Hain,Nusrat Fateh Ali Khan,"Nusrat Fateh Ali Khan, Afternight Vibes","Revamped, Vol. 3 (Remix)"
Dhurandhar - All Songs 🔥,Baby,Justin Bieber,"Justin Bieber, Ludacris",My World 2.0
Dhurandhar - All Songs 🔥,Na De Dil Pardesi Nu,Muhammad Sadiq,"Muhammad Sadiq, Ranjit Kaur",Muhammad Sadiq And Ranjit Kaur Da Akhada
Dhurandhar - All Songs 🔥,Dhurandhar,Shashwat Sachdev,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan","Dhurandhar - Title Track (From ""Dhurandhar"")"
Dhurandhar - All Songs 🔥,Bounce,Shubh,Shubh,Chapter IV
Dhurandhar - All Songs 🔥,Taras,Sachin-Jigar,"Sachin-Jigar, Jasmine Sandlas, Amitabh Bhattacharya","Taras (From ""Munjya"")"
Dhurandhar - All Songs 🔥,Apna Bana Le,Sachin-Jigar,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Bhediya (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Tabaahi,Vishal Mishra,"Vishal Mishra, Raj Shekhar","Tabaahi (From ""Toxic"")"
Dhurandhar - All Songs 🔥,Ek Din Title Track,Arijit Singh,"Arijit Singh, Ram Sampath, Irshad Kamil","Ek Din Title Track (From ""Ek Din"")"
Dhurandhar - All Songs 🔥,Dhurandhar,Shashwat Sachdev,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",Dhurandhar
Dhurandhar - All Songs 🔥,Ace,Shubh,Shubh,Chapter IV
Dhurandhar - All Songs 🔥,Ishq de Fanniyar,Jyotica Tangri,"Jyotica Tangri, Kumaar",Fukrey Returns (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Kya Kamaal Hai,A.R. Rahman,"A.R. Rahman, Diljit Dosanjh, Irshad Kamil","Kya Kamaal Hai (From ""Main Vaapas Aaunga"")"
Dhurandhar - All Songs 🔥,Bheegi Bheegi,A. R. Ameen,"A. R. Ameen, A.R. Rahman, Jasleen Royal",Bheegi Bheegi
Dhurandhar - All Songs 🔥,Beauty And A Beat,Justin Bieber,"Justin Bieber, Nicki Minaj",Believe
Dhurandhar - All Songs 🔥,Jogi,thiarajxtt,"thiarajxtt, Bir",Jogi
Dhurandhar - All Songs 🔥,Finding Her,Kushagra,"Kushagra, Bharath, Saaheal",Finding Her
Dhurandhar - All Songs 🔥,Broken,Shubh,Shubh,Chapter IV
Dhurandhar - All Songs 🔥,Ishq,Faheem Abdullah,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Lost;Found
Dhurandhar - All Songs 🔥,Ranjha,Diljit Dosanjh,"Diljit Dosanjh, Sia, David Guetta",Ranjha
Dhurandhar - All Songs 🔥,VOGUE,Guru Randhawa,"Guru Randhawa, Gill Machhrai, Rony Ajnali, Dilmaan",VOGUE
Dhurandhar - All Songs 🔥,Delhi Se Manali,Badshah,"Badshah, Sirazee, Manju Nautiyal",Delhi Se Manali (Ladka Tera Diwana)
